codicearticolo,nome,descrizione,generemusicale,etichettadiscografica,codicebundle
LK901235,Exile on Main St.,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Interscope Records,null
NM012346,London Calling,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Sub Pop Records,SU901258
PO123458,A Night at the Opera,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Island Records,null
RQ234569,Pet Sounds,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Universal Music Group,null
TS345680,The Velvet Underground & Nico,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Ninja Tune,null
VU456791,Blood on the Tracks,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Sub Pop Records,SU901258
XW567802,The Beatles (White Album),"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,XL Recordings,null
ZY678913,Tapestry,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Cash Money Records,null
AC789024,Graceland,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rap,ANTI-Records,OQ567814
BD890135,Songs in the Key of Life,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rap,Nonesuch Records,null
CE901246,OK Computer,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Island Records,null
DF012357,Bridge Over Troubled Water,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Atlantic Records,null
EG123469,Legend,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Raggae,Nonesuch Records,null
FH234570,Kind of Blue,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Jazz,ANTI-Records,null
GI345681,Blue,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,XL Recordings,null
HJ456792,What's Going On,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Blues,Sub Pop Records,LN234581
IK567803,Highway 61 Revisited,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Motown Records,null
JL678914,Are You Experienced,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Interscope Records,QS789036
KM789025,The Doors,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Epic Records,KM123470
LN890136,Golden Hour,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Country,Nonesuch Records,null
MO901247,Grace,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,RCA Records,null
NP012358,Doolittle,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Interscope Records,null
OQ123470,The Miseducation of Lauryn Hill,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Merge Records,null
PR234581,Ten,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Def Jam Recordings,null
QS345692,Illmatic,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Domino Recording Company,null
RT456703,My Beautiful Dark Twisted Fantasy,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Matador Records,null
SU567814,To Pimp a Butterfly,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Domino Recording Company,null
TV678925,Mellon Collie and the Infinite Sadness,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Island Records,null
UW789036,In the Aeroplane Over the Sea,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Universal Music Group,null
VX890147,Electric Ladyland,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Ninja Tune,null
WY901258,Master of Puppets,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Heavy Metal,Columbia Records,null
XZ012369,Led Zeppelin II,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Heavy Metal,Epic Records,null
YB123470,Blue Album,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,XL Recordings,null
ZA234581,Harvest,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Dead Oceans,null
BC345692,Hounds of Love,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Cash Money Records,TV012369
DE456703,After the Gold Rush,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Sub Pop Records,null
FG567814,Blood Sugar Sex Magik,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Sub Pop Records,null
HI678925,Transformer,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Island Records,null
JK789036,Innervisions,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rap,Nonesuch Records,OQ567814
LM890147,Hard Again,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Blues,Capitol Records,null
NO901258,Paranoid,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Heavy Metal,4AD,null
PQ012369,The Chronic,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rap,Island Records,null
RS123470,The Eminem Show,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Merge Records,null
TU234581,Aja,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Jazz,Warner Music Group,null
VW345692,The Marshall Mathers LP,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rap,Sony Music Entertainment,null
XY456703,Purple,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Sub Pop Records,null
AB567814,Automatic for the People,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Interscope Records,null
CD678925,Goodbye and Hello,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Atlantic Records,null
EF789036,Déjà Vu,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,XL Recordings,NP456703
GH890147,The Bends,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Epic Records,null
IJ901258,Hunky Dory,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,RCA Records,KM123470
KL012369,Fear of the Dark,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Interscope Records,null
MN123470,Off the Wall,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Domino Recording Company,MO345692
OP234581,The Low End Theory,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Matador Records,MO345692
QR345692,Houses of the Holy,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Island Records,null
ST456703,Murmur,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Universal Music Group,null
UV567814,Pink Moon,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Motown Records,NP456703
WX678925,A Love Supreme,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Jazz,Capitol Records,null
YZ789036,Wish You Were Here,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Ninja Tune,QS789036
BA890147,The Sky Is Crying,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Blues,Sub Pop Records,null
DC901258,(What's the Story) Morning Glory?,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Pop,Domino Recording Company,TV012369
FE012369,Let It Bleed,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,XL Recordings,null
HG123470,Kind of Blue,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Jazz,Motown Records,null
JI234581,Indianola Mississippi Seeds,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Blues,Atlantic Records,null
LK345692,Is This It,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Island Records,null
NM456703,Closer,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Def Jam Recordings,null
PO567814,Reign in Blood,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Heavy Metal,Def Jam Recordings,null
RQ678925,London Calling,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Heavy Metal,Dead Oceans,null
TS789036,The Smiths,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Interscope Records,null
VU890147,Rain Dogs,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Epic Records,null
XW901258,Odessey and Oracle,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,RCA Records,null
ZY012369,Daydream Nation,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Interscope Records,null
AC123470,The Piper at the Gates of Dawn,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Island Records,null
BD234581,Surfer Rosa,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Universal Music Group,KM123470
CE345692,Ys,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Sub Pop Records,null
DF456703,Disintegration,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Ninja Tune,null
EG567814,Let It Be,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,XL Recordings,null
FH678925,To Bring You My Love,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Island Records,null
GI789036,Dirt,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Punk,Sub Pop Records,null
HJ890147,Killers,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Interscope Records,null
IK901258,Turn on the Bright Lights,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Rock,Epic Records,null
JL012369,Born Under a Bad Sign,"Descrizione di un bellissimo articolo musicale da comprare assolutamente",Blues,Def Jam Recordings,LN234581
KM123470,Harmony Starter Pack,"Descrizione di un bellissimo bundle fatto su misura per te",Rock,null,null
LN234581,Ultimate Musician Bundle,"Descrizione di un bellissimo bundle fatto su misura per te",Blues,null,null
MO345692,Melody Master Kit,"Descrizione di un bellissimo bundle fatto su misura per te",Pop,null,null
NP456703,Rhythm Pro Set,"Descrizione di un bellissimo bundle fatto su misura per te",Punk,null,null
OQ567814,Tune Creator Package,"Descrizione di un bellissimo bundle fatto su misura per te",Rap,null,null
PR678925,Soundwave Essentials,"Descrizione di un bellissimo bundle fatto su misura per te",Rock,null,null
QS789036,Composer's Dream Bundle,"Descrizione di un bellissimo bundle fatto su misura per te",Rock,null,null
RT890147,Studio Artist Collection,"Descrizione di un bellissimo bundle fatto su misura per te",Heavy Metal,null,null
SU901258,Performance Gear Kit,"Descrizione di un bellissimo bundle fatto su misura per te",Punk,null,null
TV012369,Complete Music Toolkit ,"Descrizione di un bellissimo bundle fatto su misura per te",Pop,null,null
